Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,Normalized_CC_Before,Normalized_CC_After,Normalized_HV_Before,Normalized_HV_After,Comment_Ratio_Before,Comment_Ratio_After,Comment_Readability_Before,Comment_Readability_After,Style_Conformance_Score_Before,Style_Conformance_Score_After,Clone_Density_Before,Clone_Density_After
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,example/android/app/build.gradle,build.gradle,Gradle,modified,0.0147,0.0532,22.7797,34.9541,0.0329,0.0846,48.38,52.7,1.0,0.97,0.0,0.0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,example/android/build.gradle,build.gradle,Gradle,modified,0.0385,0.05,24.2438,28.4965,0.1212,0.1698,52.33,67.72,1.0,1.0,0.0,0.0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,example/android/settings.gradle,settings.gradle,Gradle,modified,0.25,0.375,46.64,64.9463,0.0,0.0,0.0,0.0,1.0,0.62,0.0,0.0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0396,0.0804,25.802,36.9481,0.0549,0.0729,47.34,53.66,,,,
f2d9fa675e97ef4c07163448296929a9a5bae8b9,0fd9cb780e5ac06daa74383abb30f7a745fd77f3,build.xml,build.xml,Ant,modified,0.0694,0.0556,11.2545,12.8558,0.3259,0.2475,56.79,49.43,0.0,0.0,0.081,0.039
f2d9fa675e97ef4c07163448296929a9a5bae8b9,0fd9cb780e5ac06daa74383abb30f7a745fd77f3,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0694,0.0556,11.2545,12.8558,0.3259,0.2475,56.79,49.43,,,,
208e81c971f0a92d9cc17ca07ef2aad926a53863,549742cab6f4be56ccadcb258c380f9363bb066e,build.xml,build.xml,Ant,modified,0.0042,0.0044,11.1203,10.8749,0.0845,0.1238,25.06,25.22,0.33,0.33,0.482,0.472
208e81c971f0a92d9cc17ca07ef2aad926a53863,549742cab6f4be56ccadcb258c380f9363bb066e,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0042,0.0044,11.1203,10.8749,0.0845,0.1238,25.06,25.22,,,,
ae44501eee3ace9fd670d0e0a62d2ca076920c8b,7ae55f5a9ffb3e40b3f08382fa5f74c9693e06e9,build.xml,build.xml,Ant,modified,0.0143,0.0136,7.6192,8.8626,0.3802,0.2929,11.18,45.43,0.77,0.9,0.264,0.386
ae44501eee3ace9fd670d0e0a62d2ca076920c8b,7ae55f5a9ffb3e40b3f08382fa5f74c9693e06e9,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0143,0.0136,7.6192,8.8626,0.3802,0.2929,11.18,45.43,,,,
68ce18ab2b2bec4f866dc2306a79e69b38907742,485bb8e33ede789c578512250e5932f095d3466a,build.xml,build.xml,Ant,modified,0.0909,0.0842,7.5142,7.7176,0.04,0.0459,14.27,59.75,0.69,0.72,0.0,0.0
68ce18ab2b2bec4f866dc2306a79e69b38907742,485bb8e33ede789c578512250e5932f095d3466a,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0909,0.0842,7.5142,7.7176,0.04,0.0459,14.27,59.75,,,,
3fb402dd59c6363f096717a9d2f27b5559886a97,117dc3182e481c725db167aacbe22f9f86d61a66,build.xml,build.xml,Ant,modified,0.0774,0.079,11.6847,11.6963,0.1061,0.1061,36.33,36.33,0.92,0.92,0.219,0.221
3fb402dd59c6363f096717a9d2f27b5559886a97,117dc3182e481c725db167aacbe22f9f86d61a66,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0774,0.079,11.6847,11.6963,0.1061,0.1061,36.33,36.33,,,,
